sku;INTERNO;name;quantity;price;;;
7898639382115;17024;.BEBE NEW BORN FAZ XIXI 8211;1;126,04;;;
7898289259771;16318;.BEBE SUPER SOFT 377;0;31,48;;;
7898283853771;18205;.BEBE SUPER SOFT 377;1;33,78;;;
7898447975646;13700;.BEE FARM CELEIRO 564;0;63,01;;;
SEM GTIN;17151;.BEIJAMIM CUBO MEGASTOCK;0;4,39;;;
SEM GTIN;19199;.BELICHE SUC. SABRINA 06/05;0;1.054,89;;;
SEM GTIN;20034;.BELICHE SUC. SABRINA 08/08;0;1.546,92;;;
SEM GTIN;7080;.BERCO MINI TIGUS RUBI;2;296,85;;;
;25504;.BERCO TIGUS FLY C/ MINI CAMA SONINHO;0;637,87;;;
SEM GTIN;4672;.BERCO TIGUS SLIM C/ MINI CAMA;0;637,87;;;
SEM GTIN;7808;.BERMUDA INF. TEC-TEL PERSONAGENS ;0;29,5;;;
SEM GTIN;16105;.BICAMA CHENILE BMD TURIM;0;480,54;;;
SEM GTIN;17374;.BICAMA CHENILE ECOTEC FOFAO;2;654,1;;;
SEM GTIN;18438;.BICAMA R G PLUS;0;847,69;;;
SEM GTIN;4637;.BICHINHOS BANHO 121;14;8,64;;;
SEM GTIN;14065;.BICHINHOS BANHO 308, 335, 307;1;6,53;;;
SEM GTIN;6794;.BICHINHOS BANHO MAR 122;11;8,64;;;
7896965201254;19085;.BICHINHOS FARM 125;0;45,62;;;
7898370517746;22559;.BICHINHOS PELUCIA F1660;2;34,37;;;
7899508430517;13648;.BICHINHOS PELUCIA P 1410-1;0;36,19;;;
SEM GTIN;136;.BICIC. ERGOMETRICA DREAM EX450;0;536,69;;;
7898648176804;17974;.BICIC. ERGOMETRICA TRAINER ;0;747,66;;;
SEM GTIN;15539;.BICIC. SPINNING PODIUMFIT S200;0;1.962,64;;;
SEM GTIN;3557;.BINGO LUGO SUPER BINGO 1022;0;45,62;;;
7908136327929;14392;.BLOCOS DE MONTAR 112 PSC 508;0;38,94;;;
7898736290184;22452;.BLOCOS DE NOTAS 9018;1;4,29;;;
SEM GTIN;20679;.BLUSA REG. POWER LIPO MODELADORA;24;117,09;;;
SEM GTIN;14136;.BOLA CRAVO 2755;1;2,82;;;
7908281301911;14089;.BOLA DECOR  NATAL 70001;2;19,29;;;
SEM GTIN;14897;.BOLA MASTER 141;8;13,87;;;
7908281356812;17147;.BOLA NATAL C/ 6 81001;0;19,09;;;
7908161737175;7019;.BOLA NATAL C/12;1;21;;;
7908161700957;20182;.BOLA NATAL C/12 1802D;0;19,52;;;
7908161707727;23440;.BOLA NATAL C/12 5151;0;22,92;;;
7908281300105;20173;.BOLA NATAL C/12 7006;3;16,05;;;
7908281356850;20188;.BOLA NATAL C/16;2;69,64;;;
;25803;.BOLA NATAL C/2 60064;3;14,75;;;
7898642536864;23439;.BOLA NATAL C/20 85201;4;50,88;;;
SEM GTIN;14026;.BOLA NATAL C/3 8736;0;6,65;;;
7908161707970;14022;.BOLA NATAL C/4 5602;0;32,06;;;
7899655044841;14359;.BOLA NATAL C/6 17943;0;21,45;;;
7908281346011;20181;.BOLA NATAL C/6 1804C;1;21;;;
7908281300099;14024;.BOLA NATAL C/6 20002;0;18,7;;;
7908161707697;7594;.BOLA NATAL C/6 5101;2;24,06;;;
7908161707963;23441;.BOLA NATAL C/6 5601;2;24,05;;;
SEM GTIN;14028;.BOLA NATAL C/6 NTB60072;0;24,82;;;
7908161708717;14393;.BOLA NATAL C/6 NTB60901;0;14,21;;;
7908161708182;23442;.BOLA NATAL C/8 60061;1;17,37;;;
7908161737120;14027;.BOLA NATAL C/9 12132;0;18,65;;;
7908161701015;7018;.BOLA NATAL C/9 1803;3;21;;;
7899655097335;14360;.BOLA NATAL C/9 22229;0;41,34;;;
7898642536901;20189;.BOLA NATAL C/9 5401;0;33,77;;;
7898125112875;22451;.BOLA PINGO DE COBRINHA 287;9;6,8;;;
SEM GTIN;14898;.BOLA PINGO DE LEITE;3;8,59;;;
7897252260114;8379;.BOLICHE 6011;1;28,71;;;
;19150;.BOLSA 7416;0;90,27;;;
SEM GTIN;17810;.BOLSA COURO HVS SINCE2003;3;62,81;;;
7898718240558;24466;.BOLSA DE VIAGEM 8558;1;105;;;
;2632;.BOLSA DE VIAGEM F5119;1;118,83;;;
7890251120243;22508;.BOLSA DUKE MODADK251;2;115,42;;;
SEM GTIN;1006;.BOLSA LONA G;0;44,65;;;
SEM GTIN;3770;.BOLSA LONA GG;0;41,76;;;
7908629702141;25336;.BOLSA LONA JIAKAILE 70/35/21;3;59,65;;;
SEM GTIN;993;.BOLSA LONA M;0;36,84;;;
SEM GTIN;1019;.BOLSA LONA P;8;38,84;;;
7898505894254;12272;.BOLSA LONA SPORT XILIE 70/30;4;74,95;;;
SEM GTIN;16418;.BOLSA LONA VIAGEM G;1;60,44;;;
SEM GTIN;17970;.BOLSA LONA VIAGEM GG;0;64,26;;;
SEM GTIN;17971;.BOLSA LONA VIAGEM M;9;56,94;;;
7898505894278;19145;.BOLSA LONA VIAGEM N8 219M;3;84,64;;;
6990198107749;19211;.BOLSA MATERNIDADE 10774;1;76,34;;;
6990198107763;19212;.BOLSA MATERNIDADE 10776;0;76,34;;;
SEM GTIN;4080;.BOLSA SANSONIKE BAGUM G;1;36,12;;;
SEM GTIN;1005;.BOLSA SENHORA;1;70,81;;;
7898631554664;17013;.BOLSA TCHUCO 77 PCS BLOCOS 244;1;62,53;;;
7899310516546;8712;.BOLSA TRANSVERSAL 1654;0;43,52;;;
SEM GTIN;16402;.BOLSA XJ-465;0;75,41;;;
6935231609507;9101;.BOMBONIERE PI60950/160951;2;28,93;;;
7908161750686;8709;.BOMBONIERE WINCY VDA04087;0;77,07;;;
7898924464267;9215;.BONE C/ ABA RETA FURIA;1;21,76;;;
6943443610969;4976;.BONE CAUTRY;4;38,62;;;
2000001001585;15593;.BONE CAUTRY MINAS ATACADO;4;35,43;;;
SEM GTIN;24476;.BONE COUNTRY 74-99;1;35,03;;;
SEM GTIN;15590;.BONE ESSENCIAL;0;39,54;;;
SEM GTIN;15591;.BONE FE, NEW YORK, LOS ANGELES;1;38,62;;;
6943443607884;796;.BONE LEOPARD;1;43,7;;;
7899593439365;15268;.BONE MINAS ATACADO ;11;32,21;;;
7908629706132;24477;.BONE NEW YORK 94-99;4;33,59;;;
SEM GTIN;15592;.BONE ORIGINAL CAP;2;16,45;;;
SEM GTIN;24475;.BONE POLIESTER 95-99;7;18,34;;;
7898283853405;19084;.BONECA ANAIZA 340;0;32,09;;;
7898639381644;19094;.BONECA ANINHA DORME BEBE 8164;0;67,6;;;
SEM GTIN;14030;.BONECA BABY BABILINA 715, 716, 717;0;68,13;;;
7898927355920;4140;.BONECA BELINHA BABY 30 FRASES 092;0;69,3;;;
7899866222779;20308;.BONECA BELLA FASHION 28142;2;10,68;;;
7899866222670;22444;.BONECA BELLA FASHION LP611;0;21,92;;;
7898447978364;3887;.BONECA BIBI BABIES 836;0;23,6;;;
7898283856024;13676;.BONECA CINTY STYLING HEAND 602, 102;0;110,27;;;
7898639380210;3319;.BONECA COME FAZ CAQUINHA 8021;0;94,52;;;
7899958201910;15596;.BONECA DA MODA 0155;0;9,02;;;
7898639381682;13683;.BONECA DESCOLADA 8168;0;135,24;;;
7898927356163;7767;.BONECA DOCINHO DE BEBE 616;1;141,79;;;
7898539431647;1583;.BONECA FASHION POPSTAR AKT3164;0;5,07;;;
7898639380807;6458;.BONECA FAZ CAQUINHA 8080;0;157,55;;;
7898639380463;11086;.BONECA FAZ XIXI NEW BORN 8046;1;143,7;;;
SEM GTIN;20888;.BONECA FRUTINHAS MORANGO 2508;0;33,78;;;
7898283850848;19083;.BONECA GIRLS FASHION DOLL 084;0;33,78;;;
7898283854037;16319;.BONECA HAIR SOFT 403;0;37,17;;;
7898283851111;3133;.BONECA JUDY 62 FRASES 111;1;78,76;;;
7898927356811;442;.BONECA LITTLE DOLLS 681;0;59,85;;;
7898639380029;9495;.BONECA LITTLE DOLLS FAZ XIXI 8002;1;60,84;;;
7898639380371;4139;.BONECA LITTLE DOLLS GEMEOS 8037;0;78,76;;;
7898639380197;4101;.BONECA LITTLE DOLLS SONINHO 8019;0;59,85;;;
7898639380814;6457;.BONECA MATERNIDADE NEW BORN 8081;0;163,99;;;
7896464738602;16337;.BONECA MEGGIE CICLISTA 3867;0;63,01;;;
SEM GTIN;14137;.BONECA MILKINHAS CLASSICAS 554, 549;0;68,15;;;
7898283851517;3503;.BONECA MINHA PRIMEIRA ORACAO 151;0;51,96;;;
7898927356101;7626;.BONECA MIUDINHA BERCINHO 610;0;28,71;;;
7898927355883;3124;.BONECA MIUDINHA C/ BANHEIRA 088;0;28,71;;;
SEM GTIN;20895;.BONECA MOANA 2600;1;152,15;;;
;19106;.BONECA MY BEST PINTURA 790;0;118,33;;;
7898639380364;16343;.BONECA MY LITTLE BAILARINA 8036;0;25,33;;;
7898639380326;5136;.BONECA MY LITTLE CUIDADOS 8032;0;78,76;;;
7898639380357;16342;.BONECA MY LITTLE DENTINHO 8035;0;63,01;;;
7898639380340;7911;.BONECA MYLITTLE UNICORNIO 8034;0;84,51;;;
7898283854044;16320;.BONECA NEGA HAIR SOFT 404;0;31,48;;;
7896964614949;8378;.BONECA NINOS 1494;0;204,82;;;
7899508441292;22558;.BONECA PANO 1410G-2;1;200,02;;;
7908136333616;17338;.BONECA PANO 3093;10;64,96;;;
7909240002726;17339;.BONECA PANO LALINHA 242;0;62,61;;;
6506079868335;1478;.BONECA PANO MILK 6839, 6833;0;108,12;;;
7908136333692;13647;.BONECA PANO MILK 8309;2;62,61;;;
7898283859087;13678;.BONECA PANO MILK G 908;0;94,52;;;
7898283859070;13677;.BONECA PANO MILK M 907;0;85,06;;;
7898283859063;3004;.BONECA PANO MILK P 906;0;58,28;;;
SEM GTIN;14034;.BONECA PEKENEKAS CHEIROSINHAS 880;0;37,06;;;
SEM GTIN;14036;.BONECA PEKENEKAS ESTILOSAS 1280;0;37,06;;;
